Date,Time,Temp (F),Dewpt (F),
2020-08-01,00:53,69,64,
2020-08-01,01:53,68,64,
2020-08-01,02:53,68,64,
2020-08-01,03:53,67,64,
2020-08-01,04:53,67,64,
2020-08-01,05:53,67,64,
2020-08-01,06:53,67,64,
2020-08-01,07:53,68,64,
2020-08-01,08:53,67,63,
2020-08-01,09:53,66,63,
2020-08-01,10:53,67,64,
2020-08-01,11:53,69,64,
2020-08-01,12:53,70,66,
2020-08-01,13:53,71,66,
2020-08-01,14:53,70,66,
2020-08-01,15:53,68,66,
2020-08-01,16:53,69,66,
2020-08-01,17:53,66,64,
2020-08-01,18:53,66,65,
2020-08-01,19:53,67,65,
2020-08-01,20:53,65,63,
2020-08-01,21:53,64,62,
2020-08-01,22:53,64,62,
2020-08-01,23:53,64,62,
2020-08-02,00:53,63,62,
2020-08-02,01:53,64,63,
2020-08-02,02:53,64,62,
2020-08-02,03:53,63,62,
2020-08-02,04:53,63,62,
2020-08-02,05:53,63,62,
2020-08-02,06:53,65,64,
2020-08-02,07:53,68,66,
2020-08-02,08:53,74,67,
2020-08-02,09:53,76,65,
2020-08-02,10:53,78,65,
2020-08-02,11:53,80,66,
2020-08-02,12:53,81,66,
2020-08-02,13:53,81,64,
2020-08-02,14:53,82,64,
2020-08-02,15:53,81,64,
2020-08-02,16:53,81,63,
2020-08-02,17:53,79,67,
2020-08-02,18:53,73,68,
2020-08-02,19:53,71,66,
2020-08-02,20:53,68,65,
2020-08-02,21:53,67,65,
2020-08-02,22:53,66,64,
2020-08-02,23:53,65,63,
2020-08-03,00:53,65,63,
2020-08-03,01:53,63,62,
2020-08-03,02:53,63,61,
2020-08-03,03:53,62,61,
2020-08-03,04:53,63,61,
2020-08-03,05:53,65,63,
2020-08-03,06:53,66,65,
2020-08-03,07:53,67,65,
2020-08-03,08:53,71,66,
2020-08-03,09:53,74,67,
2020-08-03,10:53,76,66,
2020-08-03,11:53,74,67,
2020-08-03,12:53,76,66,
2020-08-03,13:53,78,65,
2020-08-03,14:53,77,65,
2020-08-03,15:53,76,64,
2020-08-03,16:53,73,62,
2020-08-03,17:53,71,60,
2020-08-03,18:53,68,61,
2020-08-03,19:53,65,61,
2020-08-03,20:53,64,61,
2020-08-03,21:53,64,60,
2020-08-03,22:53,63,60,
2020-08-03,23:53,62,60,
2020-08-04,00:53,61,58,
2020-08-04,01:53,60,58,
2020-08-04,02:53,61,58,
2020-08-04,03:53,60,58,
2020-08-04,04:53,60,57,
2020-08-04,05:53,60,57,
2020-08-04,06:53,62,56,
2020-08-04,07:53,66,57,
2020-08-04,08:53,68,58,
2020-08-04,09:53,70,58,
2020-08-04,10:53,72,58,
2020-08-04,11:53,70,55,
2020-08-04,12:53,73,52,
2020-08-04,13:53,73,52,
2020-08-04,14:53,71,53,
2020-08-04,15:53,71,52,
2020-08-04,16:53,73,51,
